town,latitude,longitude
"Montiel",38.6981136,-2.8652537
"Moral de Calatrava",38.8293937,-3.5793395
"Navalpino",39.2256128,-4.5907981
"Navas de Estena",39.4944354,-4.5210142
"Pedro Muñoz",39.4060954,-2.9474164
"Picón",39.0497719,-4.0603127
"Piedrabuena",39.0344592,-4.1753284
"Poblete",38.9351817,-3.9812082
"Porzuna",39.1467218,-4.153826
"Pozuelo de Calatrava",38.9119565,-3.8371496
"Los Pozuelos de Calatrava",38.9005075,-4.1697149
"Puebla de Don Rodrigo",39.0823124,-4.6168415
"Puebla del Príncipe",38.5665118,-2.9252461
"Puerto Lápice",39.3243594,-3.4817078
"Puertollano",38.6852161,-4.1111749
"Retuerta del Bullaque",39.4620946,-4.40999
"Saceruela",38.9434102,-4.6083053
"San Carlos del Valle",38.8443306,-3.2416783
"San Lorenzo de Calatrava",38.4767039,-3.8249484
"Santa Cruz de los Cáñamos",38.636664,-2.8669824
"Santa Cruz de Mudela",38.6419862,-3.4666934
"Socuéllamos",39.2834014,-2.7904645
"La Solana",38.941937,-3.236528
"Solana del Pino",38.4661568,-4.0745968
"Terrinches",38.6096902,-2.8416293
"Tomelloso",39.1585549,-3.0214851
"Torralba de Calatrava",39.0170808,-3.7502053
"Torre de Juan Abad",38.5845739,-3.0609335
"Torrenueva",38.6397821,-3.3648129
"Valdemanco del Esteras",38.9384034,-4.8290585
"Valdepeñas",38.7594573,-3.3847392
"Valenzuela de Calatrava",38.8528367,-3.7723018
"Villahermosa",38.7505908,-2.8718753
"Villamanrique",38.5457838,-2.9979338
"Villamayor de Calatrava",38.7877317,-4.1386794
"Villanueva de la Fuente",38.6926503,-2.693727
"Villanueva de los Infantes",41.7032195,-4.4831772
"Villanueva de San Carlos",38.6219731,-3.909334
"Villar del Pozo",38.8503411,-3.9635321
"Villarrubia de los Ojos",39.2181465,-3.6070212
"Villarta de San Juan",39.2383954,-3.4235166
"Viso del Marqués",38.5217338,-3.5627159
"El Robledo",39.2176173,-4.2811191
"Ruidera",38.9773853,-2.8837081
"Arenales de San Gregorio",39.308449,-3.0250984
"Llanos del Caudillo",39.117787,-3.351901
"Adamuz",38.0269999,-4.5245275
"Aguilar de la Frontera",37.5146967,-4.6567166
"Alcaracejos",38.3893241,-4.9673657
"Almedinilla",37.4405255,-4.0961434
"Almodóvar del Río",37.8112483,-5.0194742
"Añora",38.4123556,-4.8976316
"Baena",37.6173035,-4.324371
"Belalcázar",38.575186,-5.1669539
"Belmez",38.272413,-5.2078919
"Benamejí",37.2671843,-4.540364
"Los Blázquez",38.4073597,-5.4401208
"Bujalance",37.8950265,-4.3810054
"Cabra",37.4718153,-4.4335616
"Cañete de las Torres",37.8666708,-4.3184903
"Carcabuey",37.4438237,-4.2740867
"Cardeña",38.2703085,-4.3227324
"La Carlota",37.6746159,-4.9325335
"El Carpio",37.9388192,-4.4993246
"Castro del Río",37.6911602,-4.4826954
"Conquista",38.4080934,-4.5006552
"Córdoba",37.8845813,-4.7760138
"Doña Mencía",37.5545719,-4.3573672
"Dos Torres",38.4442332,-4.8956511
"Encinas Reales",37.2745773,-4.4887626
"Espejo",37.678932,-4.5537827
"Espiel",38.1885533,-5.0189717
"Fernán-Núñez",37.669931,-4.7253088
"Fuente la Lancha",38.4224339,-5.0482099
"Fuente Obejuna",38.2667683,-5.4197812
"Fuente Palmera",37.7049553,-5.099948
"Fuente-Tójar",37.5107434,-4.145896
"La Granjuela",38.3706149,-5.3516486
"Guadalcázar",37.7578517,-4.9441631
"El Guijo",38.495977,-4.7831015
"Hinojosa del Duque",38.5004276,-5.148021
"Hornachuelos",37.8341341,-5.2490384
"Iznájar",37.2567255,-4.3100913
"Lucena",37.4091334,-4.4860128
"Luque",37.5586671,-4.2786296
"Montalbán de Córdoba",37.5814618,-4.7496714
"Montemayor",37.6484171,-4.6983093
"Montilla",37.5811178,-4.6414726
"Montoro",38.0215633,-4.3827296
"Monturque",37.473299,-4.5814876
"Moriles",37.4353584,-4.6095901
"Nueva Carteya",37.5859799,-4.4677573
"Obejo",38.1325555,-4.8000174
"Palenciana",37.2486227,-4.5825794
"Palma del Río",37.6949622,-5.2804262
"Pedro Abad",37.9665287,-4.4557244
"Pedroche",38.4275719,-4.7629857
"Peñarroya-Pueblonuevo",38.3026178,-5.2714828
"Posadas",37.8017289,-5.107031
"Pozoblanco",38.3780204,-4.848573
"Priego de Córdoba",37.4384292,-4.1980422
"Puente Genil",37.387395,-4.7716241
"La Rambla",41.37907629329142,2.175060394173672
"Rute",37.3253037,-4.3699771
"San Sebastián de los Ballesteros",37.6535266,-4.8240997
"Santaella",37.561297,-4.8425505
"Santa Eufemia",38.5966427,-4.9041947
"Torrecampo",38.4744653,-4.6773881
"Valenzuela",37.7751808,-4.220174
"Valsequillo",38.4049294,-5.3517078
"La Victoria",37.6813142,-4.8531883
"Villa del Río",37.980817,-4.2916403
"Villafranca de Córdoba",37.9623001,-4.5459147
"Villaharta",38.1400552,-4.9037865
"Villanueva de Córdoba",38.3230235,-4.6279655
"Villanueva del Duque",38.3932039,-4.9995818
"Villanueva del Rey",38.1982093,-5.1526791
"Villaralto",38.4549605,-4.9845849
"Villaviciosa de Córdoba",38.0756277,-5.0146332
"El Viso",38.4832661,-4.9554413
"Zuheros",37.543409,-4.314876
"Fuente Carreteros",37.6702769,-5.1556939
"La Guijarrosa",37.6374463,-4.8653984
"Abegondo",43.2273169,-8.2887175
"Ames",42.89076245,-8.672237474467723
"Aranga",43.2230734,-8.01244340998015
"Ares",43.4263299,-8.2440387
"Arteixo",43.3045943,-8.508275
"Arzúa",42.9279921,-8.1605667
"A Baña",42.961549950000006,-8.75348439757645
"Bergondo",43.312425,-8.247019742963623
"Betanzos",43.279239,-8.2105792
"Boimorto",43.01256095,-8.138764787179328
"Boiro",42.6462941,-8.8858718
"Boqueixón",42.83292635,-8.443279174395226
"Brión",42.8548393,-8.744408224559546
"Cabana de Bergantiños",43.18984835,-8.914222586076123
"Cabanas",43.4186891,-8.1609242
"Camariñas",43.1310578,-9.1825585
"Cambre",43.2923291,-8.3444415
"A Capela",43.4420677,-8.043400479082187
"Carballo",43.2134123,-8.6891286
"Carnota",42.821959,-9.0878032
"Carral",43.2297016,-8.3558882
"Cedeira",43.6602391,-8.0546995
"Cee",42.9555564,-9.1900013
"Cerceda",43.1626367,-8.503475747510887
"Cerdido",43.60429515,-7.965406203365054
"Coirós",43.2461745,-8.147122837242744
"Corcubión",42.9444958,-9.1942141
"Coristanco",43.163483,-8.758148710721432
"A Coruña",43.3709703,-8.3959425
"Culleredo",43.2884816,-8.3894589
"Curtis",43.1269872,-8.1432398
"Dodro",42.72130235,-8.720385749579044
"Dumbría",43.0104042,-9.1179528
"Fene",43.473674,-8.1625614
"Ferrol",43.4846862,-8.233162
"Fisterra",42.9064771,-9.263789
"Frades",43.0494377,-8.283713902661036
"Irixoa",43.2877953,-8.049119147941772
"Laxe",43.2219125,-9.0059393
"A Laracha",43.2484663,-8.5816182
"Lousame",42.7733607,-8.832957073089341
"Malpica de Bergantiños",43.29843885,-8.82476058739922
"Mañón",43.66962345,-7.725032130316498
"Mazaricos",42.92794995,-8.99414285014904
"Melide",42.9145741,-8.0136139
"Mesía",43.0886943,-8.215601716391204
"Miño",43.3578653,-8.179262653166562
"Moeche",43.5621201,-7.9719050388949135
"Monfero",43.34531125,-7.987157397022322
"Mugardos",43.4618239,-8.2571246
"Muxía",43.1071193,-9.2181926
"Muros",42.7744106,-9.0575351
"Narón",43.5010981,-8.1923091
"Neda",43.5002779,-8.1582467
"Negreira",42.9109711,-8.7349564
"Noia",42.7850763,-8.8877375
"Oleiros",43.354837200000006,-8.329088217619127
"Ordes",43.076756,-8.407816
"Oroso",43.0000895,-8.379908965051555
"Ortigueira",43.6843141,-7.8543679
"Outes",42.8455717,-8.914081628554332
"Paderne",43.2961787,-8.156218887014607
"Padrón",42.7390228,-8.6602504
"O Pino",42.94548985,-8.35022065450338
"A Pobra do Caramiñal",42.6046249,-8.9402045
"Ponteceso",43.2428181,-8.9005051
"Pontedeume",43.4072585,-8.1718823
"As Pontes de García Rodríguez",43.4502183,-7.853109
"Porto do Son",42.726023,-9.0049123
"Rianxo",42.6488711,-8.8173676
"Ribeira",42.5778204,-9.008342633678708
"Rois",42.788576,-8.720191531113596
"Sada",42.5871778,-1.3983063
"San Sadurniño",43.53107965,-8.053184536775678
"Santa Comba",43.0339953,-8.8066593
"Santiago de Compostela",42.8804219,-8.5458608
"Santiso",42.87162435,-8.064309128549736
"Sobrado",43.0403957,-8.0224927
"As Somozas",43.527472200000005,-7.921595457784443
"Teo",42.7936431,-8.5507166
"Toques",42.96925235,-7.955717031271646
"Tordoia",43.0871726,-8.547133932024785
"Touro",42.86068815,-8.309792838681641
"Trazo",43.01092455,-8.529295190370991
"Valdoviño",43.6068643,-8.143537
"Val do Dubra",43.02346925,-8.657830670946222
"Vedra",42.78612965,-8.427606706158933
"Vilasantar",43.07592205,-8.095838159583536
"Vilarmaior",43.35507445,-8.138644902640008
"Vimianzo",43.1102989,-9.0327488
"Zas",43.099246,-8.9135928
"Cariño",43.7412174,-7.8698084
"Oza-Cesuras",43.19313215,-8.181270696449937
"Abia de la Obispalía",40.0186019,-2.394852
"El Acebrón",39.9083265,-2.9839914
"Alarcón",39.5462409,-2.0867234
"Albaladejo del Cuende",39.8076114,-2.2277885
"Albalate de las Nogueras",40.3661898,-2.2771179
"Albendea",40.4877452,-2.4174915
"La Alberca de Záncara",39.5142257,-2.4924704
"Alcalá de la Vega",40.0271894,-1.524851
"Alcantud",40.5484371,-2.3322481
"Alcázar del Rey",40.0624404,-2.8073809
"Alcohujate",40.4173874,-2.614855
"Alconchel de la Estrella",39.719603,-2.5740529
"Algarra",40.0016616,-1.43573
"Aliaguilla",39.7407714,-1.3239912
"La Almarcha",39.6860407,-2.3792038
"Almendros",39.9209017,-2.8846669
"Almodóvar del Pinar",39.72563,-1.9017443
"Almonacid del Marquesado",39.822857,-2.7681298
"Altarejos",39.912994,-2.3555362
"Arandilla del Arroyo",40.5107566,-2.3842697
"Arcos de la Sierra",40.3469917,-2.1132497
"Chillarón de Cuenca",40.1047007,-2.2210894
"Arguisuelas",39.8323266,-1.821017
"Arrancacepas",40.3037374,-2.3590462
"Atalaya del Cañavate",39.518015,-2.2521232
"Barajas de Melo",40.1234578,-2.9168828
"Barchín del Hoyo",39.6636596,-2.0684645
"Bascuñana de San Pedro",40.213616,-2.2280069
"Beamud",40.1863409,-1.8293402
"Belinchón",40.0483697,-3.0579594
"Belmonte",39.5592831,-2.7038117
"Belmontejo",39.8228067,-2.3442851
"Beteta",40.572657,-2.0759798
"Boniches",39.9854852,-1.6241784
"Buciegas",40.336223,-2.461798
"Buenache de Alarcón",39.657732,-2.1592025
"Buenache de la Sierra",40.1346928,-2.0007632
"Buendía",40.3672413,-2.7573386
"Campillo de Altobuey",39.611263,-1.7928416
"Campillos-Paravientos",39.9734066,-1.5465215
"Campillos-Sierra",40.1008009,-1.6966379
"Canalejas del Arroyo",40.3688671,-2.4946248
"Cañada del Hoyo",39.9691054,-1.9004676
"Cañada Juncosa",39.5494101,-2.2513925
"Cañamares",40.4521589,-2.2393419
"El Cañavate",39.5429504,-2.3028402
"Cañaveras",40.3599356,-2.3963157
"Cañaveruelas",40.400328,-2.6368691
"Cañete",40.0423045,-1.6480255
"Cañizares",40.5186403,-2.1913136
"Carboneras de Guadazaón",39.8995669,-1.8115281
"Cardenete",39.7661577,-1.6886942
"Carrascosa",40.5908678,-2.1629716
"Carrascosa de Haro",39.5972679,-2.5411354
"Casas de Benítez",39.3625621,-2.1296318
"Casas de Fernando Alonso",39.3485644,-2.3233662
"Casas de Garcimolina",39.9977629,-1.4183301
"Casas de Guijarro",39.3458137,-2.1641211
"Casas de Haro",39.3250186,-2.2710778
"Casas de los Pinos",39.3335028,-2.3703374
"Casasimarro",39.3946426,-2.0385536
"Castejón",40.3817975,-2.5212898
"Castillejo de Iniesta",39.5261811,-1.7620353
"Castillejo-Sierra",40.3752299,-2.1405708
"Castillo-Albaráñez",40.2991751,-2.3929946
"Castillo de Garcimuñoz",39.6601688,-2.3812386
"Cervera del Llano",39.7833137,-2.4205283
"La Cierva",40.0564088,-1.8512278
"Cuenca",40.0661031,-2.1313528
"Cueva del Hierro",40.5828632,-2.0359702
"Chumillas",39.7711484,-2.0322704
"Enguídanos",39.673715,-1.6062826
"Fresneda de Altarejos",39.9263108,-2.3158007
"Fresneda de la Sierra",40.3914583,-2.141628
"La Frontera",40.4010484,-2.2170389
"Fuente de Pedro Naharro",39.922986,-3.0115776
"Fuentelespino de Haro",39.6886394,-2.6690603
"Fuentelespino de Moya",39.9204894,-1.4707807
"Fuentes",39.9503682,-2.0210007
"Fuertescusa",40.4756419,-2.1765193
"Gabaldón",39.6261519,-1.9449722
"Garaballa",39.8144683,-1.3763652
"Gascueña",40.2996206,-2.5187048
"Graja de Campalbo",39.8990692,-1.2714106
"Graja de Iniesta",39.5173927,-1.6706163
"Henarejos",39.8647342,-1.4863539
"El Herrumblar",39.4014917,-1.6232149
"La Hinojosa",39.7283084,-2.4151193
"Los Hinojosos",39.6044249,-2.8261235
"El Hito",39.8589283,-2.7150172
"Honrubia",39.613532,-2.2807538
"Hontanaya",39.7158522,-2.8349384
"Hontecillas",39.6927948,-2.1868921
"Horcajo de Santiago",39.8421603,-2.9973736
"Huélamo",40.2766202,-1.8098341
"Huelves",40.0425092,-2.8844157
"Huérguina",40.04053,-1.608876
"Huerta de la Obispalía",39.9887886,-2.4794322
"Huerta del Marquesado",40.1457469,-1.686626
"Huete",40.143961,-2.6912644
"Iniesta",39.444555,-1.7487477
"Laguna del Marquesado",40.1776385,-1.6715429
"Lagunaseca",40.5313816,-2.0190418
"Landete",39.9075815,-1.3688998
"Ledaña",39.3561864,-1.715765
"Leganiel",40.1648319,-2.9503566
"Las Majadas",40.2975717,-2.0224378
"Mariana",40.1664999,-2.1450678
"Masegosa",40.5464824,-2.0257693
"Las Mesas",39.3879951,-2.7645235
"Minglanilla",39.5346515,-1.5944266
"Mira",39.7210593,-1.4395226
"Monreal del Llano",39.5690417,-2.7602557
"Montalbanejo",39.7340388,-2.4988339
"Montalbo",39.8790694,-2.6711349
"Monteagudo de las Salinas",39.8046672,-1.8999698
"Mota de Altarejos",39.8816032,-2.3098706
"Mota del Cuervo",39.5009343,-2.8711089
"Motilla del Palancar",39.5629507,-1.9122236
"Moya",39.9479049,-1.366237
"Narboneta",39.7509159,-1.474701
"Olivares de Júcar",39.7602942,-2.354393
"Olmeda de la Cuesta",40.31128,-2.476545
"Olmeda del Rey",39.8081313,-2.0828653
"Olmedilla de Alarcón",39.6140029,-2.1037923
"Olmedilla de Eliz",40.3025307,-2.4188699
"Osa de la Vega",39.6611803,-2.7600609
"Pajarón",39.9578209,-1.7832678
"Pajaroncillo",39.9462593,-1.7342922
"Palomares del Campo",39.9458419,-2.598374
"Palomera",40.067254,-2.0482866
"Paracuellos",39.7178176,-1.7879705
"Paredes",40.0659163,-2.8544122
"La Parra de las Vegas",39.8682597,-2.2048433
"El Pedernoso",39.485595,-2.7463452
"Las Pedroñeras",39.449747,-2.6729813
"El Peral",39.4989794,-1.8982021
"La Peraleja",40.2354319,-2.5556501
"La Pesquera",39.5720418,-1.5852092
"El Picazo",39.4472379,-2.0890919
"Pinarejo",39.6161178,-2.4258982
"Pineda de Gigüela",40.0855943,-2.5438748
"Piqueras del Castillo",39.7206359,-2.0825145
"Portalrubio de Guadamejud",40.2721375,-2.6043122
"Portilla",40.2891053,-2.0828367
"Poyatos",40.4228412,-2.0492767
"Pozoamargo",39.3673668,-2.1963828
"Pozorrubio de Santiago",39.8164243,-2.9499721
"El Pozuelo",40.6201881,-2.2772876
"Priego",40.449201,-2.3134558
"El Provencio",39.3759068,-2.5725648
"Puebla de Almenara",39.7851172,-2.8133541
"El Valle de Altomira",40.23667775,-2.763896693843578
"Puebla del Salvador",39.5651668,-1.674717
"Quintanar del Rey",39.3426472,-1.9291582
"Rada de Haro",39.5693066,-2.6205352
"Reíllo",39.9052464,-1.8723906
"Rozalén del Monte",39.9908714,-2.8052532
"Saceda-Trasierra",40.1545669,-2.8534818
"Saelices",39.9207771,-2.8045626
"Salinas del Manzano",40.0888092,-1.5536527
"Salmeroncillos",40.5024229,-2.515179981401769
"Salvacañete",40.0984878,-1.5020884
"San Clemente",39.4034745,-2.4281278
"San Lorenzo de la Parrilla",39.8502261,-2.359628
"San Martín de Boniches",39.8865394,-1.5737828
"San Pedro Palmiches",40.4298294,-2.4052384
"Santa Cruz de Moya",39.9559022,-1.2559322
"Santa María del Campo Rus",39.5585834,-2.4231351
"Santa María de los Llanos",39.4899136,-2.8112823
"Santa María del Val",40.5040264,-2.0417378
"Sisante",39.4075687,-2.2028088
"Solera de Gabaldón",39.7493161,-1.9768851
"Talayuelas",39.8493565,-1.2837214
"Tarancón",40.0086075,-3.0102243
"Tébar",39.4974411,-2.1655023
"Tejadillos",40.1401359,-1.6347259
"Tinajas",40.3258732,-2.5812709
"Torralba",42.6084653,-2.3316332
"Torrejoncillo del Rey",40.008647,-2.573366
"Torrubia del Campo",39.8962421,-2.9614603
"Torrubia del Castillo",39.6585198,-2.311664
"Tragacete",40.3506621,-1.8511902
"Tresjuncos",39.7001027,-2.7552616
"Tribaldos",39.9724076,-2.8981469
"Uclés",39.9804328,-2.8615799
"Uña",40.2231089,-1.977556
"Valdemeca",40.2241115,-1.7433762
"Valdemorillo de la Sierra",40.0391444,-1.7804077
"Valdemoro-Sierra",40.1009872,-1.7670594
"Valdeolivas",40.5054831,-2.4459413
"Valhermoso de la Fuente",39.5524313,-2.0164684
"Valsalobre",40.6173995,-2.0930014
"Valverde de Júcar",39.7197483,-2.2211991
"Valverdejo",39.6159822,-2.0238438
"Vara de Rey",39.427408,-2.2926689
"Vega del Codorno",40.433242,-1.9288045
"Vellisca",40.1293719,-2.8142136
"Villaconejos de Trabaque",40.4010532,-2.3180646
"Villaescusa de Haro",39.5971303,-2.6740201
"Villagarcía del Llano",39.3265485,-1.8470496
"Villalba de la Sierra",40.2356037,-2.0892952
"Villalba del Rey",40.3445737,-2.6397251
"Villalgordo del Marquesado",39.6822592,-2.5088883
"Villalpardo",39.4719685,-1.6245716
"Villamayor de Santiago",39.7286889,-2.9270441
"Villanueva de Guadamejud",40.2244737,-2.5056232
"Villanueva de la Jara",39.4399258,-1.9535483
"Villar de Cañas",39.7770883,-2.5629736
"Villar de Domingo García",40.2382298,-2.2930526
"Villar de la Encina",39.6367049,-2.5223557
"Villar del Humo",39.8717006,-1.6272847
"Villar del Infantado",40.4555118,-2.4791511
"Villar de Olalla",40.0148219,-2.1962859
"Villarejo de Fuentes",39.7886288,-2.695127
"Villarejo de la Peñuela",40.0878631,-2.4098217
"Villarejo-Periesteban",39.8712018,-2.4409916
"Villares del Saz",39.8405925,-2.5052703
"Villarrubio",39.9449175,-2.893322
"Villarta",39.440988,-1.6510932
"Villas de la Ventosa",40.2047493,-2.4315745
"Villaverde y Pasaconsol",39.7702019,-2.2643607
"Víllora",39.753624,-1.587235
"Vindel",40.5870515,-2.3807498
"Yémeda",39.7628988,-1.7224387
"Zafra de Záncara",39.892017,-2.5579885
"Zafrilla",40.1945017,-1.6183696
"Zarza de Tajo",40.0178829,-3.1304586
"Zarzuela",40.2560862,-2.1289674
"Campos del Paraíso",40.01578895,-2.70291234196752
"Valdetórtola",39.92921365,-2.177981037112185
"Las Valeras",39.79414915,-2.145663801318344
"Fuentenava de Jábaga",40.13625645,-2.3225856107647767
"Arcas",39.9886574,-2.1147528
"Los Valdecolmenas",40.1082001,-2.4663959743138992
"Pozorrubielos de la Mancha",39.477599350000006,-2.0391851994222367
"Sotorribas",40.28011855,-2.2069651133414645
"Villar y Velasco",40.13990195,-2.4161550504014926
"Agullana",42.3938409,2.8469168
"Aiguaviva",41.9382389,2.7624155
"Albanyà",42.30495675,2.7201116074286524
"Albons",42.1058271,3.0849746
"el Far d'Empordà",42.2511629,2.9963544
"Alp",42.3736381,1.8871916
"Amer",42.0092186,2.6030327
"Anglès",41.9559224,2.6359493
"Arbúcies",41.8160629,2.5141453
"Argelaguer",42.2145207,2.6414922
"l' Armentera",42.1718706,3.0741446
"Avinyonet de Puigventós",42.2499757,2.9145442
"Begur",41.9541918,3.2088349
"la Vajol",42.4039078,2.800086
"Banyoles",42.1180477,2.7653607
"Bàscara",42.1591723,2.9092786
"Bellcaire d'Empordà",42.0810857,3.0944347
"Besalú",42.1986443,2.6959559
"Bescanó",41.9670349,2.7389937
"Beuda",42.2372601,2.7097379
"la Bisbal d'Empordà",41.9598687,3.039616
"Blanes",41.6756178,2.7932391
"Bolvir",42.417885,1.8798183
"Bordils",42.0440682,2.9116018
"Borrassà",42.2224982,2.9268828
"Breda",41.7484044,2.5613326
"Brunyola i Sant Martí Sapresa",41.9049114,2.6839536
"Boadella i les Escaules",42.3324603,2.8583208
"Cabanes",42.3087348,2.9764243
"Cabanelles",42.2302177,2.8187019
"Cadaqués",42.2893484,3.2752159
"Caldes de Malavella",41.8398724,2.8099858
"Calonge i Sant Antoni",41.8621762,3.066082472268807
"Camós",42.0938831,2.7674256
"Campdevànol",42.2230582,2.1680717
"Campelles",42.2946353,2.1405635
"Campllong",41.8948831,2.8309625
"Camprodon",42.3127896,2.364926
"Canet d'Adri",42.0332009,2.7377666
"Cantallops",42.4235685,2.9248575
"Capmany",42.3732813,2.9206405
"Queralbs",42.3495722,2.1632838
"Cassà de la Selva",41.8874685,2.8742461
"Castellfollit de la Roca",42.2193323,2.5512465
"Castelló d'Empúries",42.2589097,3.0749242
"Platja d'Aro i s'Agaró Castell d'Aro",41.8151092,3.0310571
"Celrà",42.0247111,2.8789816
"Cervià de Ter",42.0676956,2.9122136
"Cistella",42.268711,2.8472717
"Siurana",42.2095097,2.9940216
"Colera",42.4036867,3.1489254
"Colomers",42.0841561,2.9870811
"Cornellà del Terri",42.0898363,2.8157343
"Corçà",41.9893624,3.0170799
"Crespià",42.1877796,2.7982926
"Darnius",42.3665352,2.8337409
"Das",42.3636176,1.8713459
"l' Escala",42.113535,3.1387422
"Espinelves",41.8689558,2.4173566
"Espolla",42.3893146,2.9994355
"Esponellà",42.1773757,2.7955223
"Figueres",42.2666314,2.9638434
"Flaçà",42.0456854,2.9569565
"Foixà",42.0388268,2.9973628
"Fontanals de Cerdanya",42.3840589,1.9118566643772803
"Fontanilles",42.0111362,3.1065584
"Fontcoberta",42.1425379,2.7897817
"Fornells de la Selva",41.9319675,2.8090343
"Fortià",42.2424345,3.0404198
"Garrigàs",42.1929222,2.9539294
"Garrigoles",42.1071682,3.030074
"Garriguella",42.3446368,3.0642397
"Ger",42.4115726,1.8472085
"Girona",41.9793006,2.8199439
"Gombrèn",42.2484304,2.0905975
"Gualta",42.029638,3.1037954
"Guils de Cerdanya",42.4479402,1.879737
"Hostalric",41.7451889,2.6330963
"Isòvol",42.3781028,1.8175789
"Jafre",42.0726347,3.0107448
"la Jonquera",42.4207991,2.8728485
"Juià",42.0172969,2.9067184
"Lladó",42.2478898,2.8120781
"Llagostera",41.8289064,2.8920386
"Llambilles",41.9215695,2.851079
"Llanars",42.3197051,2.3435638
"Llançà",42.3646215,3.1581373
"Llers",42.2956869,2.9114592
"Llívia",42.4640786,1.9804293
"Lloret de Mar",41.6973503,2.8392392
"les Llosses",42.1506279,2.1166718
"Madremanya",41.9900799,2.9568764
"Maià de Montcal",42.2221769,2.7431144
"Meranges",42.4460663,1.7870102
"Masarac i Vilarnadal",42.3509939,2.9723618
"Massanes",41.7654696,2.6528719
"Maçanet de Cabrenys",42.3861179,2.7485579
"Maçanet de la Selva",41.7774422,2.7309252
"Mieres",43.2488161,-5.7722468
"Mollet de Peralada",42.3595501,2.9999085
"Molló",42.3485369,2.4043962
"Montagut i Oix",42.2309257,2.5967415
"Mont-ras",41.9080196,3.144796
"Navata",42.2248425,2.8584815
"Ogassa",42.2656267,2.2777794
"Olot",42.1822177,2.4890211
"Ordis",42.2185591,2.9072143
"Osor",41.9451025,2.5569285
"Palafrugell",41.9183618,3.1619905
"Palamós",41.8495354,3.1278785
"Palau de Santa Eulàlia",42.1734468,2.9646635
"Palau-saverdera",42.3076083,3.146611
"Palau-sator",41.9897891,3.1103856
"Palol de Revardit",42.0694953,2.7958985
"Pals",41.9709891,3.1460371
"Pardines",42.312731,2.2139864
"Parlavà",42.022591,3.0304741
"Pau",42.3161009,3.1161931
"Pedret i Marzà",42.3078129,3.0706399140638307
"la Pera",42.0205464,2.9736244
"Peralada",42.3085047,3.0089916
"les Planes d'Hostoles",42.0565983,2.5384283
"Planoles",42.3148273,2.1029743
"Pont de Molins",42.3148493,2.9304359
"Pontós",42.1858949,2.9172363
"Porqueres",42.1226823,2.725494527830609
"Portbou",42.4274333,3.1588785
"les Preses",42.1450901,2.4592158
"el Port de la Selva",42.3373159,3.2047232
"Puigcerdà",42.4317966,1.9278693
"Quart",41.9401591,2.8413516
"Rabós",42.3787458,3.0283472
"Regencós",41.9523563,3.1687852
"Ribes de Freser",42.3057283,2.167817
"Riells i Viabrea",41.7764308,2.5129067
"Ripoll",42.1982391,2.1932496
"Riudarenes",41.8218536,2.7163817
"Riudaura",42.1887348,2.4093804
"Riudellots de la Selva",41.8954981,2.8022296
"Riumors",42.2269331,3.0420591
"Roses",42.2632018,3.1755328
"Rupià",42.0207872,3.0105902
"Sales de Llierca",42.2358533,2.6499657
"Salt",41.9741672,2.7949886
"Sant Andreu Salou",41.8732667,2.8254449
"Sant Climent Sescebes",42.3693761,2.9802226
"Sant Feliu de Buixalleu",41.7913017,2.5861463
"Sant Feliu de Guíxols",41.7838827,3.0283195
"Sant Feliu de Pallerols",42.0758164,2.5078037
"Sant Ferriol",42.1868577,2.678302787348615
"Sant Gregori",41.9910304,2.7564765
"Sant Hilari Sacalm",41.8780822,2.5131751
"Sant Jaume de Llierca",42.2119833,2.6074259
"Sant Jordi Desvalls",42.0714043,2.9522691
"Sant Joan de les Abadesses",42.233743,2.2854845
"Sant Joan de Mollet",42.0442275,2.941985
"Sant Julià de Ramis",42.0346552,2.8394572
"Vallfogona de Ripollès",42.1963139,2.3036247
"Sant Llorenç de la Muga",42.3199618,2.7888647
"Sant Martí de Llémena",42.0364324,2.6475329
"Sant Martí Vell",42.0196093,2.9311901
"Sant Miquel de Campmajor",42.135899,2.6790781
"Sant Miquel de Fluvià",42.1732143,2.9904591
"Sant Mori",42.1559696,2.9896074
"Sant Pau de Segúries",42.2633408,2.366055
"Sant Pere Pescador",42.1899836,3.0837479
"Santa Coloma de Farners",41.8603109,2.6659047
"Santa Cristina d'Aro",41.813979,2.9974879
"Santa Llogaia d'Àlguema",42.2333519,2.9523456
"Sant Aniol de Finestres",42.06944315,2.6084554280821344
"Santa Pau",42.1442606,2.571379
"Sant Joan les Fonts",42.2132951,2.5134302
"Sarrià de Ter",42.0141923,2.8175976
"Camallera i Llampaies Saus",42.12881645,2.981192639636048
"la Selva de Mar",42.3241056,3.1868248
"la Cellera de Ter",41.9686921,2.6205193
"Serinyà",42.1687245,2.7448646
"Serra de Daró",42.028087,3.0728658
"Setcases",42.375331,2.3016103
"Sils",41.8098347,2.743055
"Susqueda",41.9983697,2.513135092487725
"la Tallada d'Empordà",42.0798863,3.0555614
"Terrades",42.3106341,2.8381619
"Torrent",39.436668,-0.4656213
"Torroella de Fluvià",42.174492,3.0402489
"Torroella de Montgrí",42.040982,3.1262041
"Tortellà",42.233331,2.630869
"Toses",42.3218595,2.0168227
"Tossa de Mar",41.7197773,2.9312155
"Ultramort",42.037127,3.0349373
"Ullà",42.0500542,3.1073899
"Ullastret",42.0008975,3.0689759
"Urús",42.3520412,1.8534065
